"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8IVZ8Z6N","journalArticle","2013","Shi, Huabin; Yu, Xiping","Application of transport timescales to coastal environmental assessment: A case study","JOURNAL OF ENVIRONMENTAL MANAGEMENT","","0301-4797","10.1016/j.jenvman.2013.08.062","","A numerical model based on the random walk particle tracking technique is developed to simulate the transport of the contaminants discharged into the coastal area of Guangxi, China from rivers. The model couples a 1D river flow module and a 2D coastal circulation module. Two transport timescales, i.e., the age and the arrival time, are introduced to characterize the contaminant transport process. The age is the time for a particle taken to enter the domain of interest after it left the place where the age is initially set to zero. The arrival time, on the other hand, is the age of the particle arriving at a particular place most quickly after release. It is useful for emergency responses to such an accident as toxic substance leakage. By the numerical model, the age and the arrival time under various conditions in the coastal area of Guangxi, China are studied in details. The age distribution and the arrival time of particles at a specific location are shown to closely rely on the coastal hydrodynamic environment in addition to the distance of the location from the source where particles are released. Particles released at spring tide and at ebb tide are found to spread more quickly than those released at neap tide and at flood tide, respectively. A large carrying discharge of river reduces the ages of the contaminants from the river concerned when transported to a place within the coastal area, while it has less influence on the arrival time, particularly in a place along the coast. (C) 2013 Elsevier Ltd. All rights reserved.","2013-11-30","2021-10-08 06:25:09","2021-10-09 14:17:12","","176-184","","","130","","","","","","","","","","","","","","WOS:000328869600021","","","","<p>建立了基于随机游走粒子跟踪技术的数值模型来模拟从河流排放到中国广西沿海地区的污染物的传输过程。该模型耦合了一个一维河流流量模块和一个二维沿海环流模块。引入了两个运输时间尺度，即年龄和到达时间，以表征污染物运输过程。年龄是粒子离开年龄最初设置为零的位置后进入感兴趣域的时间。另一方面，到达时间是粒子在释放后最快到达特定地点的年龄。对于有毒物质泄漏等事故的应急响应非常有用。通过数值模型，详细研究了广西沿海地区不同条件下的年龄和到达时间。粒子在特定位置的年龄分布和到达时间除了与粒子释放源位置的距离外，还密切依赖于沿海水动力环境。发现在大潮和退潮时释放的颗粒分别比在小潮和大潮时释放的颗粒传播得更快。河流的大量携带排放减少了相关河流污染物在运输到沿海地区时的年龄，而对到达时间的影响较小，特别是在沿海地区。</p>","/Users/yulong/Zotero/storage/8DZ5VXH8/S0301479713005872.html","","{index: arrival time}; {index: water age}; {method: particle tracking}; {model: particle tracking}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTB5HNJJ","journalArticle","2009","Gong, Wenping; Shen, Jian; Hong, Bo","The influence of wind on the water age in the tidal Rappahannock River","MARINE ENVIRONMENTAL RESEARCH","","0141-1136","10.1016/j.marenvres.2009.06.008","","Wind plays an important role in regulating mixing/stratification, estuarine circulation, and transport timescale in estuaries. A three-dimensional model was used to investigate the effect of wind on transport time by using the concept of water age (WA) in the tidal Rappahannock River, a western tributary of the Chesapeake Bay, USA. The model was calibrated for water level, current, and salinity. A series of experiments regarding the effects of wind on WA was conducted under various dynamic conditions. The effect of wind on transport timescale depends strongly on the competition between the wind and buoyancy forcings, and on the pre-status of the circulation. A down-estuary wind generally decreases WA along the estuary. An up-estuary wind increases WA substantially because it changes the vertical mixing and estuarine circulation more significantly. When the buoyancy forcing increases, the up-estuary wind effect decreases whereas the down-estuary wind effect increases. A 2-day period wind pulse with a maximum speed of 15 m s(-1) can alter WA for 3 days; but the wind influence on WA lasts up to 40 days in the simulation. Both local and non-local wind forcings alter WA distribution. The local wind enhances vertical mixing and changes the gravitational circulation in the downstream portion of the estuary whereas it enhances transport in the freshwater portion of the estuary. Consequently, the local wind has a significant impact on WA distribution. In contrast, the non-local wind does not change the gravitational circulation significantly by imposing setup (setdown) of water level at the open boundary, resulting in a lesser impact on WA distribution. (c) 2009 Elsevier Ltd. All rights reserved.","2009-10","2021-10-08 06:25:09","2021-10-09 15:20:31","","203-216","","4","68","","","","","","","","","","","","","","WOS:000269242100008","","","","<p>风在调节河口混合/分层、河口环流和运输时间尺度方面起着重要作用。通过使用美国切萨皮克湾西部支流拉帕汉诺克河的水龄 (WA) 概念，使用三维模型研究风对运输时间的影响。该模型针对水位、水流和盐度进行了校准。在各种动态条件下进行了一系列关于风对 WA 影响的实验。风对运输时间尺度的影响很大程度上取决于风和浮力之间的竞争，以及环流的前期状态。河口下游的风通常会沿河口降低 WA。河口上游风会显着增加 WA，因为它更显着地改变了垂直混合和河口环流。当浮力增加时，河口上风效应减弱，而河口下风效应增加。最大速度为 15 m s(-1) 的 2 天周期风脉冲可以改变 3 天的 WA；但在模拟中风对 WA 的影响持续长达 40 天。局部和非局部风力都会改变 WA 的分布。当地风增强了垂直混合并改变了河口下游部分的重力环流，同时它增强了河口淡水部分的运输。因此，当地风对WA分布有显着影响。相比之下，非局域风不会通过在开放边界处强加水位设置（下降）显着改变重力环流，从而对 WA 分布的影响较小。 (c) 2009 Elsevier Ltd。保留所有权利。</p>","/Users/yulong/Zotero/storage/QL8LY58A/Gong et al. - 2009 - The influence of wind on the water age in the tida.pdf","","{index: water age}; {site: Chesapeake Bay}; {model: EFDC}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZKDSJ4C","journalArticle","2020","Bravo, Hector R.; Hamidi, Sajad A.; Anderson, Eric J.; Klump, J. Val; Khazaei, Bahram","Timescales of transport through Lower Green Bay","JOURNAL OF GREAT LAKES RESEARCH","","0380-1330","10.1016/j.jglr.2020.06.010","","Contaminated sediments, poor water quality, and lost or altered habitat in Lower Green Bay and Fox River in the 1980s led to its listing as an Area of Concern by the International Joint Commission. Previous studies on the geophysics and health of the bay demonstrated the need for estimates of transport timescales. Such estimates can contribute to improved understanding of the transport and fate of nutrients, contaminants, and biogeochemical processes in the bay. This study reviews definitions of residence time and flushing time, estimates the temporal distribution of flushing time, the spatial and temporal distributions of residence time, and horizontal diffusivities. The study used a previously developed hydrodynamic model, a drifter experiment, a lake particle transport model, and methods appropriate for the estimation of transport timescales. The estimated residence time for lower Green Bay, 56 +/- 16 days, is smaller than a previous estimate of 190 days for the whole bay, and had values similar to the estimated flushing times. The closeness between those timescales demonstrates the important role of water exchange across the Chambers Island transect. Flushing time and residence time do not follow the same trends in monthly variability because the former depends directly on water exchange across Chambers Island, while the later depends, in addition, on tributary inflows and the circulation patterns in the bay. The study includes a discussion of the relations between the timescales of transport and the previous studies of biogeochemical processes, such as trophic conditions, spatial distribution of cyanobacteria, cold-water intrusions, and hypoxia. (C) 2020 International Association for Great Lakes Research. Published by Elsevier B.V. All rights reserved.","2020-10","2021-10-08 06:36:23","2021-10-08 15:28:51","","1292-1306","","5","46","","","","","","","","","","","","","","WOS:000579717900022","","","","<p>1980 年代下格林湾和福克斯河的受污染沉积物、水质差以及栖息地丧失或改变，导致其被国际联合委员会列为关注区域。先前对海湾的地球物理学和健康状况的研究表明需要估计运输时间尺度。这种估计有助于更好地了解海湾中营养物质、污染物和生物地球化学过程的运输和归宿。本研究回顾了停留时间和冲洗时间的定义，估计了冲洗时间的时间分布、停留时间的空间和时间分布以及水平扩散率。该研究使用了先前开发的流体动力学模型、漂流器实验、湖泊粒子传输模型以及适用于估计传输时间尺度的方法。下格林湾的估计停留时间为 56 +/- 16 天，比之前估计的整个海湾的 190 天要小，其值与估计的冲洗时间相似。这些时间尺度之间的接近程度表明了钱伯斯岛横断面的水交换的重要作用。冲洗时间和停留时间不遵循相同的月变化趋势，因为前者直接取决于钱伯斯岛的水交换，而后者还取决于支流流入量和海湾的循环模式。该研究包括讨论运输时间尺度与先前生物地球化学过程研究之间的关系，例如营养条件、蓝藻的空间分布、冷水入侵和缺氧。 (C) 2020 年国际五大湖研究协会。由 Elsevier B.V. 出版。保留所有权利。</p>","/Users/yulong/Zotero/storage/G3G4YNI2/Bravo et al. - 2020 - Timescales of transport through Lower Green Bay.pdf","","{index: flushing time}; {index: residence time}; {site: Lower Green Bay}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHHW4BQB","conferencePaper","2018","Ying, Chao; Li, Xinwen; Liu, Yong; Yao, Wenwei; Li, Ruijie; IOP","Numerical study of water residence time in the Yueqing Bay based on the eulerian approach","","1755-1307","","10.1088/1755-1315/153/6/062016","","The Yueqing Bay was a semi-enclosed bay located in the southeast of Zhejiang Province, China. Due to substantial anthropogenic influences since 1964, the water quality in the bay had deteriorated seriously. Thus urgent measures should be taken to protect the water body. In this study, a numerical model was calibrated for water surface elevation and tidal current from August 14 to August 26, 2011. Comparisons of observed and simulated data showed that the model reproduced the tidal range and phase and the variations of current at different periods fairly well. The calibrated model was then applied to investigate spatial flushing pattern of the bay by calculation of residence time. The results obtained from a series of model experiments demonstrated that the residence time increased from 10 day at the bay mouth to more than 70 day at the upper bay. The average residence time over the whole bay was 49.5 day. In addition, the adaptation of flushing homogeneity curve showed that the residence time in the bay varied smoothly. This study provides a numerical tool to quantify the transport timescale in Yueqing Bay and supports adaptive management of the bay by local authorities.","2018","2021-10-08 06:36:24","2021-10-08 13:53:58","","","","","153","","","","","","","","","","","","","","WOS:000446795200226","","","","<p>乐清湾是位于中国浙江省东南部的半封闭海湾。 1964年以来，由于受到大量人为影响，海湾水质严重恶化。因此，应采取紧急措施保护水体。本研究对2011年8月14日至8月26日的水面高程和潮汐流数值模型进行标定，通过实测数据与模拟数据对比表明，该模型较好地再现了不同时期的潮差、潮位和水流变化。好。然后应用校准模型通过计算停留时间来研究海湾的空间冲洗模式。一系列模型实验的结果表明，停留时间从湾口的10天增加到上湾的70天以上。整个海湾的平均停留时间为 49.5 天。此外，冲洗均匀性曲线的适应性表明，在湾内的停留时间变化平稳。本研究为量化乐清湾的运输时间尺度提供了一种数值工具，并支持地方当局对该湾的适应性管理。</p>","/Users/yulong/Zotero/storage/RAICWDPG/Ying et al. - 2018 - Numerical study of water residence time in the Yue.pdf","","{index: flushing time}; {site: Yueqing Bay}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 2ND INTERNATIONAL WORKSHOP ON RENEWABLE ENERGY AND DEVELOPMENT (IWRED 2018)","","","","","","","","","","","","","","",""
"VWCSMAKP","journalArticle","2019","Lin, Lei; Liu, Zhe","Partial residence times: determining residence time composition in different subregions","OCEAN DYNAMICS","","1616-7341","10.1007/s10236-019-01298-8","","Residence time (RT) is a diagnosis widely used to quantify the water exchange rate and mass transport timescale in semi-enclosed systems. The RT focuses on only the total time a water parcel spends in a system (i.e., control region). However, for a system that consists of several subregions (e.g., sub-bays or functional zones), the RT will not include information about the time spent in different subregions. To determine the RT compositions in different subregions, partial residence times (PRTs) are proposed and defined as the amount of time a water parcel spends in different subregions until leaving the control region. The equations for PRTs are derived using the adjoint method, which can quickly determine the variation of PRTs in time and space. To validate the PRT diagnostic equation and numerical model, a test is conducted in an idealized 1D channel with idealized tidal currents. The numerical results are in excellent agreement with the analytical solution. Finally, the PRT method is applied to tide-dominated Jiaozhou Bay. The PRTs in six functional subregions of Jiaozhou Bay are derived, and the detailed RT compositions of the different functional subregions are presented. The application indicates that PRTs could provide detailed information and new insights into the water exchange process.","2019-09","2021-10-08 06:36:24","2021-10-08 14:08:50","","1023-1036","","9","69","","","","","","","","","","","","","","WOS:000482404300003","","","","<p>停留时间 (RT) 是一种广泛用于量化半封闭系统中的水交换率和质量传输时间尺度的诊断方法。 RT 仅关注水包在系统（即控制区域）中花费的总时间。但是，对于由多个子区域（例如，子托架或功能区）组成的系统，RT 将不包括有关在不同子区域中花费的时间的信息。为了确定不同子区域中的 RT 组成，部分停留时间 (PRT) 被提出并将其定义为水包在不同子区域中花费的时间，直到离开控制区域。 PRT的方程是使用伴随法推导出来的，可以快速确定PRT在时间和空间上的变化。为了验证 PRT 诊断方程和数值模型，在具有理想化潮汐流的理想化 1D 通道中进行了测试。数值结果与解析解非常吻合。最后，将PRT方法应用于潮汐主导的胶州湾。推导出胶州湾六个功能分区的PRT，并给出了不同功能分区的详细RT组成。该应用表明，PRT 可以提供有关水交换过程的详细信息和新见解。</p>","/Users/yulong/Zotero/storage/9WSG99PU/Lin and Liu - 2019 - Partial residence times determining residence tim.pdf","","{index: residence time}; {site: Jiaozhou Bay}; {site: semi-enclosed bay}; total time; water exchange rate and mass transport timescale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8G25C5V9","journalArticle","2013","Camacho, Rene A.; Martin, James L.","Hydrodynamic Modeling of First-Order Transport Timescales in the St. Louis Bay Estuary, Mississippi","JOURNAL OF ENVIRONMENTAL ENGINEERING","","0733-9372","10.1061/(ASCE)EE.1943-7870.0000647","","The transport timescales residence time, exposure time, and age of water are evaluated for the St. Louis Bay estuary, Mississippi, to investigate the impacts of freshwater inflows and tidal dynamics from Mississippi Sound on the estuary's transport characteristics. The timescales are explicitly defined and computed using a hydrodynamic model and tracer experiments for a set of 11 hydrologic scenarios designed to represent permanent low, average, and high flow conditions. Results indicate that (1) the estuary's residence time can vary between 2.0 and 134.5 days during high and low flow conditions, respectively; (2) under low flow conditions dispersive processes caused by the tidal dynamics at the estuary's open boundary may be dominant, and the returning flows can increase the exposure times up to 30% in relation to the residence times; (3) during high flow conditions advective transport caused by the freshwater flows may be dominant resulting in exposure times similar to the residence times; and, (4) there are important spatial variations in the estuary's flushing characteristics as evaluated by the age of water. DOI: 10.1061/(ASCE)EE.1943-7870.0000647. (C) 2013 American Society of Civil Engineers.","2013-03","2021-10-08 06:36:24","2021-10-08 13:22:11","","317-331","","3","139","","","","","","","","","","","","","","WOS:000315470500001","","","","<p>对密西西比州圣路易斯湾河口的运输时间尺度停留时间、暴露时间和水龄进行了评估，以研究来自密西西比海峡的淡水流入和潮汐动力学对河口运输特征的影响。时间尺度是使用流体动力学模型和示踪剂实验明确定义和计算的，用于一组 11 个水文场景，旨在代表永久性低流量、平均流量和高流量条件。结果表明：（1）在高流量和低流量条件下，河口的停留时间分别在2.0到134.5天之间变化； (2) 在低流量条件下，由河口开放边界潮汐动力学引起的分散过程可能占主导地位，回流可将暴露时间增加至停留时间的 30%； (3) 在高流量条件下，由淡水流量引起的平流输送可能占主导地位，导致暴露时间与停留时间相似； (4) 河口的冲刷特征存在重要的空间变化，根据水的年龄进行评估。 DOI：10.1061/(ASCE)EE.1943-7870.0000647。 (C) 2013 美国土木工程师协会。</p>","/Users/yulong/Zotero/storage/SRXD47F5/Camacho and Martin - 2013 - Hydrodynamic Modeling of First-Order Transport Tim.pdf","","{index: exposure time}; {index: residence time}; {index: water age}; {site: St. Louis Bay}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCMN2DIB","journalArticle","2016","Mang, Qin; Tao, Jian Feng; Yang, Jie","Numerical Study on the Transport Timescale in a River-influenced Macro-tidal Estuary","JOURNAL OF COASTAL RESEARCH","","0749-0208","10.2112/SI75-039.1","","A transport module was developed and coupled with TELEMAC flow model to simulate the spatial and temporal distributive characteristics of the transport timescale based on the mean age concept defined by Delhez. The influences of river discharge, tide and large-scale flat reclamation in Taizhou Bay on the transport timescale were analyzed. Model results show that the transport timescale in the river channel is dominated by fluvial discharge over tide. It took approximately 60, 40 and 35 days for the tracer to be transported from the river boundary to the mouth of the Jiaojiang Estuary during the low, mean and high flow conditions, respectively. Outside the entrance of the estuary, tide dominates and the influence of riverine discharge is minor. Large-scale reclamation considerably affects the age distribution outside the estuary and around the project area, while it has little influence on the mass transport in the upstream part of the estuary. After the reclamation, the difference in mean age between the main channel and the tidal flat increases and the tongue-shaped spatial structure of mean age is more evident.","2016-03","2021-10-08 06:36:24","2021-10-08 14:01:34","","193-197","","","","","","","","","","","","","","","","","WOS:000373241100039","","","","<p>基于 Delhez 定义的平均年龄概念，开发了一个运输模块并与 TELEMAC 流模型相结合，以模拟运输时间尺度的空间和时间分布特征。分析了台州湾河流流量、潮汐和大规模填海造地对运输时间尺度的影响。模型结果表明，河道内的输运时间尺度以随潮汐的河流流量为主。在低、中和高流量条件下，示踪剂从河流边界运输到椒江河口分别需要大约 60、40 和 35 天。入海口外以潮汐为主，河流流量影响较小。大规模围垦对河口外及项目区周边的年龄分布影响较大，而对河口上游地区的群众运输影响不大。开垦后，主航道与滩涂的平均年龄差异增大，平均年龄呈舌状的空间结构更加明显。</p>","/Users/yulong/Zotero/storage/C5LWWR6V/Mang et al. - 2016 - Numerical Study on the Transport Timescale in a Ri.pdf","","{index: water age}; {method: tracer}; {model: TELEMAC}; {site: Taizhou Bay}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IWAGPUPA","journalArticle","2013","Phelps, Jack J. C.; Polton, Jeff A.; Souza, Alejandro J.; Robinson, Leonie A.","Hydrodynamic timescales in a hyper-tidal region of freshwater influence","CONTINENTAL SHELF RESEARCH","","0278-4343","10.1016/j.csr.2013.04.027","","This study uses a three-dimensional hydrodynamic model to investigate transport timescales in Liverpool Bay, a shallow hyper-tidal Region of Freshwater Influence (ROFI) with a density-driven baroclinic residual circulation. Flushing time, residence time and age are evaluated, providing rigorously defined parameters to describe the rate of offshore freshwater transport and basin replenishment. Additional challenges encountered when assessing these timescales in a tidally mixed regime are highlighted by idealised models.Climatological river gauge data reveals that the numerous local rivers contribute an average of 203 m(3) s(-1) of freshwater to Liverpool Bay. Based upon the mean salinity distribution, this would suggest a flushing time of approximately 136 days. The mean residence time of the region is approximately 103 days although small concentrations of water are retained over several years due to vigorous tidal mixing.Age in the region is highly variable with regular oscillations caused by tidal advection, whilst long term fluctuations are governed by river flow rates. The mean age gradient is directed offshore, approximately parallel to both the salinity gradient and the major axis of the tidal ellipse, with basin wide average magnitude of 6 days km(-1). It is shown that salinity may be used to estimate the age of freshwater, which is not directly observable in practice. (C) 2013 Elsevier Ltd. All rights reserved.","2013-07-15","2021-10-08 06:36:24","2021-10-08 13:23:23","","13-22","","","63","","","","","","","","","","","","","","WOS:000321420500002","","","","<p>本研究使用三维流体动力学模型来研究利物浦湾的运输时间尺度，利物浦湾是一个具有密度驱动的斜压残余环流的浅层超潮淡水影响区 (ROFI)。评估冲洗时间、停留时间和年龄，提供严格定义的参数来描述近海淡水运输和盆地补给的速度。理想化模型强调了在潮汐混合制度中评估这些时间尺度时遇到的其他挑战。气候河流测量数据显示，众多当地河流平均为利物浦湾贡献了 203 m(3) s(-1) 的淡水。根据平均盐度分布，这表明冲洗时间约为 136 天。该地区的平均停留时间约为 103 天，尽管由于剧烈的潮汐混合，少量的水会保留数年。该地区的年龄变化很大，由潮汐平流引起的规律振荡，而长期波动受河流控制流量。平均年龄梯度指向近海，大致平行于盐度梯度和潮汐椭圆的主轴，盆地宽平均震级为 6 天 km(-1)。结果表明，盐度可用于估计淡水的年龄，但在实践中无法直接观察到。 (C) 2013 Elsevier Ltd。保留所有权利。</p>","/Users/yulong/Zotero/storage/DQIFDP6U/Phelps et al. - 2013 - Hydrodynamic timescales in a hyper-tidal region of.pdf","","{index: flushing time}; {index: residence time}; {index: water age}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3TG2P3M","journalArticle","2016","Yu Jing; Zhang Xueqing; Liu Jinliang; Liu Rui; Wang Xing","Numerical study on the influences of Nanliu River runoff and tides on water age in Lianzhou Bay","CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY","","0254-4059","10.1007/s00343-016-5110-5","","The concept of water age is applied to calculate the timescales of the transport processes of freshwater in Lianzhou Bay, using a model based on ECOMSED. In this study, water age is defined as the time that has elapsed since the water parcel enters the Nanliu River. The results show that the mean age at a specified position and the runoff of the Nanliu River are well correlated and can be approximately expressed by a natural logarithmic function. During the neap tide, it takes 70, 60 and 40 days in the dry, normal and rainy seasons for water to travel from the mouth of the Nanliu River to the northeast of Lianzhou Bay, respectively, which is not beneficial to water exchange in the bay. Tides significantly influence the model results; it takes five less days for the tracer to be transported from the mouth of the Nanliu River to the north of Guantouling during the spring tide than during the neap tide.","2016-09","2021-10-08 06:36:25","2021-10-08 13:58:57","","1106-1113","","5","34","","","","","","","","","","","","","","WOS:000379737000023","","","","<p>应用水龄的概念，利用基于ECOMSED的模型计算连州湾淡水运移过程的时间尺度。 在本研究中，水龄被定义为自水块进入南流河以来经过的时间。 结果表明，指定位置的平均年龄与南流河径流具有良好的相关性，可以用自然对数函数近似表示。 小潮时，旱季、常季和雨季，水从南流河口流向连州湾东北部的时间分别为70天、60天和40天，不利于河内的水交换。 湾。 潮汐对模型结果有显着影响； 大潮时示踪剂从南流河口运至官头岭以北的时间比小潮时少5天。</p>","/Users/yulong/Zotero/storage/F5SBF3MQ/Yu Jing et al. - 2016 - Numerical study on the influences of Nanliu River .pdf","","{index: water age}; {model: ECOMSED}; {site: Lianzhou Bay}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8J3KQIC","journalArticle","2021","Qin, Qubin; Shen, Jian","Applying transport rate for quantifying local transport conditions in estuarine and coastal systems","JOURNAL OF MARINE SYSTEMS","","0924-7963","10.1016/j.jmarsys.2021.103542","","Transport rate, as a scale complementary to commonly used transport timescales, is useful for quantifying local transport conditions in estuarine and coastal systems. A specific transport rate computed based on tracer release is highlighted for quantifying the local transport condition for long-standing autochthonous constituents originating from the system. The overall flushing capability of the constituents can be quantified by the material turnover time, an analog of turnover time, which can be conveniently computed using transport rate. The transport rate is computed in the James River, a tributary of Chesapeake Bay, U.S.A., which clearly describes the temporal and spatial variations of local transport conditions and provides an example to evaluate the contribution of physical transport to variations in phytoplankton biomass. The transport rate can also be used to diagnose the relative importance of physical transport against other environmental factors to the dynamics of reactive autochthonous constituents. Given the advantages, the transport rate provides an efficient tool for diagnosing local transport conditions modulating dynamics of autochthonous constituents in estuarine and coastal systems.","2021-06","2021-10-08 06:36:25","2021-10-08 13:12:31","","","","","218","","","","","","","","","","","","","","WOS:000640902100004","","","","<p>运输率作为常用运输时间尺度的补充尺度，可用于量化河口和沿海系统的当地运输条件。突出显示基于示踪剂释放计算的特定传输速率，用于量化源自系统的长期本地成分的本地传输条件。成分的整体冲洗能力可以通过材料周转时间来量化，周转时间的类似物可以使用传输速率方便地计算。运输率是在美国切萨皮克湾的支流詹姆斯河中计算的，它清楚地描述了当地运输条件的时空变化，并提供了一个例子来评估物理运输对浮游植物生物量变化的贡献。运输速率还可用于诊断物理运输相对于其他环境因素对反应性本土成分动态的相对重要性。鉴于这些优势，运输率提供了一种有效的工具，用于诊断调节河口和沿海系统中本地成分动态的当地运输条件。</p>","/Users/yulong/Zotero/storage/53JXWCTH/Qin and Shen - 2021 - Applying transport rate for quantifying local tran.pdf","","{index: transport rate}; {index: turnover time}; {method: tracer}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
