"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EZKDSJ4C","journalArticle","2020","Bravo, Hector R.; Hamidi, Sajad A.; Anderson, Eric J.; Klump, J. Val; Khazaei, Bahram","Timescales of transport through Lower Green Bay","JOURNAL OF GREAT LAKES RESEARCH","","0380-1330","10.1016/j.jglr.2020.06.010","","Contaminated sediments, poor water quality, and lost or altered habitat in Lower Green Bay and Fox River in the 1980s led to its listing as an Area of Concern by the International Joint Commission. Previous studies on the geophysics and health of the bay demonstrated the need for estimates of transport timescales. Such estimates can contribute to improved understanding of the transport and fate of nutrients, contaminants, and biogeochemical processes in the bay. This study reviews definitions of residence time and flushing time, estimates the temporal distribution of flushing time, the spatial and temporal distributions of residence time, and horizontal diffusivities. The study used a previously developed hydrodynamic model, a drifter experiment, a lake particle transport model, and methods appropriate for the estimation of transport timescales. The estimated residence time for lower Green Bay, 56 +/- 16 days, is smaller than a previous estimate of 190 days for the whole bay, and had values similar to the estimated flushing times. The closeness between those timescales demonstrates the important role of water exchange across the Chambers Island transect. Flushing time and residence time do not follow the same trends in monthly variability because the former depends directly on water exchange across Chambers Island, while the later depends, in addition, on tributary inflows and the circulation patterns in the bay. The study includes a discussion of the relations between the timescales of transport and the previous studies of biogeochemical processes, such as trophic conditions, spatial distribution of cyanobacteria, cold-water intrusions, and hypoxia. (C) 2020 International Association for Great Lakes Research. Published by Elsevier B.V. All rights reserved.","2020-10","2021-10-08 06:36:23","2021-10-08 15:28:51","","1292-1306","","5","46","","","","","","","","","","","","","","WOS:000579717900022","","","","<p>1980 年代下格林湾和福克斯河的受污染沉积物、水质差以及栖息地丧失或改变，导致其被国际联合委员会列为关注区域。先前对海湾的地球物理学和健康状况的研究表明需要估计运输时间尺度。这种估计有助于更好地了解海湾中营养物质、污染物和生物地球化学过程的运输和归宿。本研究回顾了停留时间和冲洗时间的定义，估计了冲洗时间的时间分布、停留时间的空间和时间分布以及水平扩散率。该研究使用了先前开发的流体动力学模型、漂流器实验、湖泊粒子传输模型以及适用于估计传输时间尺度的方法。下格林湾的估计停留时间为 56 +/- 16 天，比之前估计的整个海湾的 190 天要小，其值与估计的冲洗时间相似。这些时间尺度之间的接近程度表明了钱伯斯岛横断面的水交换的重要作用。冲洗时间和停留时间不遵循相同的月变化趋势，因为前者直接取决于钱伯斯岛的水交换，而后者还取决于支流流入量和海湾的循环模式。该研究包括讨论运输时间尺度与先前生物地球化学过程研究之间的关系，例如营养条件、蓝藻的空间分布、冷水入侵和缺氧。 (C) 2020 年国际五大湖研究协会。由 Elsevier B.V. 出版。保留所有权利。</p>","/Users/yulong/Zotero/storage/G3G4YNI2/Bravo et al. - 2020 - Timescales of transport through Lower Green Bay.pdf","","flushing time; Lower Green Bay; residence time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHHW4BQB","conferencePaper","2018","Ying, Chao; Li, Xinwen; Liu, Yong; Yao, Wenwei; Li, Ruijie; IOP","Numerical study of water residence time in the Yueqing Bay based on the eulerian approach","","1755-1307","","10.1088/1755-1315/153/6/062016","","The Yueqing Bay was a semi-enclosed bay located in the southeast of Zhejiang Province, China. Due to substantial anthropogenic influences since 1964, the water quality in the bay had deteriorated seriously. Thus urgent measures should be taken to protect the water body. In this study, a numerical model was calibrated for water surface elevation and tidal current from August 14 to August 26, 2011. Comparisons of observed and simulated data showed that the model reproduced the tidal range and phase and the variations of current at different periods fairly well. The calibrated model was then applied to investigate spatial flushing pattern of the bay by calculation of residence time. The results obtained from a series of model experiments demonstrated that the residence time increased from 10 day at the bay mouth to more than 70 day at the upper bay. The average residence time over the whole bay was 49.5 day. In addition, the adaptation of flushing homogeneity curve showed that the residence time in the bay varied smoothly. This study provides a numerical tool to quantify the transport timescale in Yueqing Bay and supports adaptive management of the bay by local authorities.","2018","2021-10-08 06:36:24","2021-10-08 13:53:58","","","","","153","","","","","","","","","","","","","","WOS:000446795200226","","","","<p>乐清湾是位于中国浙江省东南部的半封闭海湾。 1964年以来，由于受到大量人为影响，海湾水质严重恶化。因此，应采取紧急措施保护水体。本研究对2011年8月14日至8月26日的水面高程和潮汐流数值模型进行标定，通过实测数据与模拟数据对比表明，该模型较好地再现了不同时期的潮差、潮位和水流变化。好。然后应用校准模型通过计算停留时间来研究海湾的空间冲洗模式。一系列模型实验的结果表明，停留时间从湾口的10天增加到上湾的70天以上。整个海湾的平均停留时间为 49.5 天。此外，冲洗均匀性曲线的适应性表明，在湾内的停留时间变化平稳。本研究为量化乐清湾的运输时间尺度提供了一种数值工具，并支持地方当局对该湾的适应性管理。</p>","/Users/yulong/Zotero/storage/RAICWDPG/Ying et al. - 2018 - Numerical study of water residence time in the Yue.pdf","","flushing time; Yueqing Bay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 2ND INTERNATIONAL WORKSHOP ON RENEWABLE ENERGY AND DEVELOPMENT (IWRED 2018)","","","","","","","","","","","","","","",""
"VWCSMAKP","journalArticle","2019","Lin, Lei; Liu, Zhe","Partial residence times: determining residence time composition in different subregions","OCEAN DYNAMICS","","1616-7341","10.1007/s10236-019-01298-8","","Residence time (RT) is a diagnosis widely used to quantify the water exchange rate and mass transport timescale in semi-enclosed systems. The RT focuses on only the total time a water parcel spends in a system (i.e., control region). However, for a system that consists of several subregions (e.g., sub-bays or functional zones), the RT will not include information about the time spent in different subregions. To determine the RT compositions in different subregions, partial residence times (PRTs) are proposed and defined as the amount of time a water parcel spends in different subregions until leaving the control region. The equations for PRTs are derived using the adjoint method, which can quickly determine the variation of PRTs in time and space. To validate the PRT diagnostic equation and numerical model, a test is conducted in an idealized 1D channel with idealized tidal currents. The numerical results are in excellent agreement with the analytical solution. Finally, the PRT method is applied to tide-dominated Jiaozhou Bay. The PRTs in six functional subregions of Jiaozhou Bay are derived, and the detailed RT compositions of the different functional subregions are presented. The application indicates that PRTs could provide detailed information and new insights into the water exchange process.","2019-09","2021-10-08 06:36:24","2021-10-08 14:08:50","","1023-1036","","9","69","","","","","","","","","","","","","","WOS:000482404300003","","","","<p>停留时间 (RT) 是一种广泛用于量化半封闭系统中的水交换率和质量传输时间尺度的诊断方法。 RT 仅关注水包在系统（即控制区域）中花费的总时间。但是，对于由多个子区域（例如，子托架或功能区）组成的系统，RT 将不包括有关在不同子区域中花费的时间的信息。为了确定不同子区域中的 RT 组成，部分停留时间 (PRT) 被提出并将其定义为水包在不同子区域中花费的时间，直到离开控制区域。 PRT的方程是使用伴随法推导出来的，可以快速确定PRT在时间和空间上的变化。为了验证 PRT 诊断方程和数值模型，在具有理想化潮汐流的理想化 1D 通道中进行了测试。数值结果与解析解非常吻合。最后，将PRT方法应用于潮汐主导的胶州湾。推导出胶州湾六个功能分区的PRT，并给出了不同功能分区的详细RT组成。该应用表明，PRT 可以提供有关水交换过程的详细信息和新见解。</p>","/Users/yulong/Zotero/storage/9WSG99PU/Lin and Liu - 2019 - Partial residence times determining residence tim.pdf","","Jiaozhou Bay; partial residence times; residence time; semi-enclosed; total time; water exchange rate and mass transport timescale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8G25C5V9","journalArticle","2013","Camacho, Rene A.; Martin, James L.","Hydrodynamic Modeling of First-Order Transport Timescales in the St. Louis Bay Estuary, Mississippi","JOURNAL OF ENVIRONMENTAL ENGINEERING","","0733-9372","10.1061/(ASCE)EE.1943-7870.0000647","","The transport timescales residence time, exposure time, and age of water are evaluated for the St. Louis Bay estuary, Mississippi, to investigate the impacts of freshwater inflows and tidal dynamics from Mississippi Sound on the estuary's transport characteristics. The timescales are explicitly defined and computed using a hydrodynamic model and tracer experiments for a set of 11 hydrologic scenarios designed to represent permanent low, average, and high flow conditions. Results indicate that (1) the estuary's residence time can vary between 2.0 and 134.5 days during high and low flow conditions, respectively; (2) under low flow conditions dispersive processes caused by the tidal dynamics at the estuary's open boundary may be dominant, and the returning flows can increase the exposure times up to 30% in relation to the residence times; (3) during high flow conditions advective transport caused by the freshwater flows may be dominant resulting in exposure times similar to the residence times; and, (4) there are important spatial variations in the estuary's flushing characteristics as evaluated by the age of water. DOI: 10.1061/(ASCE)EE.1943-7870.0000647. (C) 2013 American Society of Civil Engineers.","2013-03","2021-10-08 06:36:24","2021-10-08 13:22:11","","317-331","","3","139","","","","","","","","","","","","","","WOS:000315470500001","","","","<p>对密西西比州圣路易斯湾河口的运输时间尺度停留时间、暴露时间和水龄进行了评估，以研究来自密西西比海峡的淡水流入和潮汐动力学对河口运输特征的影响。时间尺度是使用流体动力学模型和示踪剂实验明确定义和计算的，用于一组 11 个水文场景，旨在代表永久性低流量、平均流量和高流量条件。结果表明：（1）在高流量和低流量条件下，河口的停留时间分别在2.0到134.5天之间变化； (2) 在低流量条件下，由河口开放边界潮汐动力学引起的分散过程可能占主导地位，回流可将暴露时间增加至停留时间的 30%； (3) 在高流量条件下，由淡水流量引起的平流输送可能占主导地位，导致暴露时间与停留时间相似； (4) 河口的冲刷特征存在重要的空间变化，根据水的年龄进行评估。 DOI：10.1061/(ASCE)EE.1943-7870.0000647。 (C) 2013 美国土木工程师协会。</p>","/Users/yulong/Zotero/storage/SRXD47F5/Camacho and Martin - 2013 - Hydrodynamic Modeling of First-Order Transport Tim.pdf","","exposure time; residence time; St. Louis Bay; water age","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCMN2DIB","journalArticle","2016","Mang, Qin; Tao, Jian Feng; Yang, Jie","Numerical Study on the Transport Timescale in a River-influenced Macro-tidal Estuary","JOURNAL OF COASTAL RESEARCH","","0749-0208","10.2112/SI75-039.1","","A transport module was developed and coupled with TELEMAC flow model to simulate the spatial and temporal distributive characteristics of the transport timescale based on the mean age concept defined by Delhez. The influences of river discharge, tide and large-scale flat reclamation in Taizhou Bay on the transport timescale were analyzed. Model results show that the transport timescale in the river channel is dominated by fluvial discharge over tide. It took approximately 60, 40 and 35 days for the tracer to be transported from the river boundary to the mouth of the Jiaojiang Estuary during the low, mean and high flow conditions, respectively. Outside the entrance of the estuary, tide dominates and the influence of riverine discharge is minor. Large-scale reclamation considerably affects the age distribution outside the estuary and around the project area, while it has little influence on the mass transport in the upstream part of the estuary. After the reclamation, the difference in mean age between the main channel and the tidal flat increases and the tongue-shaped spatial structure of mean age is more evident.","2016-03","2021-10-08 06:36:24","2021-10-08 14:01:34","","193-197","","","","","","","","","","","","","","","","","WOS:000373241100039","","","","<p>基于 Delhez 定义的平均年龄概念，开发了一个运输模块并与 TELEMAC 流模型相结合，以模拟运输时间尺度的空间和时间分布特征。分析了台州湾河流流量、潮汐和大规模填海造地对运输时间尺度的影响。模型结果表明，河道内的输运时间尺度以随潮汐的河流流量为主。在低、中和高流量条件下，示踪剂从河流边界运输到椒江河口分别需要大约 60、40 和 35 天。入海口外以潮汐为主，河流流量影响较小。大规模围垦对河口外及项目区周边的年龄分布影响较大，而对河口上游地区的群众运输影响不大。开垦后，主航道与滩涂的平均年龄差异增大，平均年龄呈舌状的空间结构更加明显。</p>","/Users/yulong/Zotero/storage/C5LWWR6V/Mang et al. - 2016 - Numerical Study on the Transport Timescale in a Ri.pdf","","Taizhou Bay; TELEMAC; tracers; water age","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IWAGPUPA","journalArticle","2013","Phelps, Jack J. C.; Polton, Jeff A.; Souza, Alejandro J.; Robinson, Leonie A.","Hydrodynamic timescales in a hyper-tidal region of freshwater influence","CONTINENTAL SHELF RESEARCH","","0278-4343","10.1016/j.csr.2013.04.027","","This study uses a three-dimensional hydrodynamic model to investigate transport timescales in Liverpool Bay, a shallow hyper-tidal Region of Freshwater Influence (ROFI) with a density-driven baroclinic residual circulation. Flushing time, residence time and age are evaluated, providing rigorously defined parameters to describe the rate of offshore freshwater transport and basin replenishment. Additional challenges encountered when assessing these timescales in a tidally mixed regime are highlighted by idealised models.Climatological river gauge data reveals that the numerous local rivers contribute an average of 203 m(3) s(-1) of freshwater to Liverpool Bay. Based upon the mean salinity distribution, this would suggest a flushing time of approximately 136 days. The mean residence time of the region is approximately 103 days although small concentrations of water are retained over several years due to vigorous tidal mixing.Age in the region is highly variable with regular oscillations caused by tidal advection, whilst long term fluctuations are governed by river flow rates. The mean age gradient is directed offshore, approximately parallel to both the salinity gradient and the major axis of the tidal ellipse, with basin wide average magnitude of 6 days km(-1). It is shown that salinity may be used to estimate the age of freshwater, which is not directly observable in practice. (C) 2013 Elsevier Ltd. All rights reserved.","2013-07-15","2021-10-08 06:36:24","2021-10-08 13:23:23","","13-22","","","63","","","","","","","","","","","","","","WOS:000321420500002","","","","<p>本研究使用三维流体动力学模型来研究利物浦湾的运输时间尺度，利物浦湾是一个具有密度驱动的斜压残余环流的浅层超潮淡水影响区 (ROFI)。评估冲洗时间、停留时间和年龄，提供严格定义的参数来描述近海淡水运输和盆地补给的速度。理想化模型强调了在潮汐混合制度中评估这些时间尺度时遇到的其他挑战。气候河流测量数据显示，众多当地河流平均为利物浦湾贡献了 203 m(3) s(-1) 的淡水。根据平均盐度分布，这表明冲洗时间约为 136 天。该地区的平均停留时间约为 103 天，尽管由于剧烈的潮汐混合，少量的水会保留数年。该地区的年龄变化很大，由潮汐平流引起的规律振荡，而长期波动受河流控制流量。平均年龄梯度指向近海，大致平行于盐度梯度和潮汐椭圆的主轴，盆地宽平均震级为 6 天 km(-1)。结果表明，盐度可用于估计淡水的年龄，但在实践中无法直接观察到。 (C) 2013 Elsevier Ltd。保留所有权利。</p>","/Users/yulong/Zotero/storage/DQIFDP6U/Phelps et al. - 2013 - Hydrodynamic timescales in a hyper-tidal region of.pdf","","flushing time; residence time; water age","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3TG2P3M","journalArticle","2016","Yu Jing; Zhang Xueqing; Liu Jinliang; Liu Rui; Wang Xing","Numerical study on the influences of Nanliu River runoff and tides on water age in Lianzhou Bay","CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY","","0254-4059","10.1007/s00343-016-5110-5","","The concept of water age is applied to calculate the timescales of the transport processes of freshwater in Lianzhou Bay, using a model based on ECOMSED. In this study, water age is defined as the time that has elapsed since the water parcel enters the Nanliu River. The results show that the mean age at a specified position and the runoff of the Nanliu River are well correlated and can be approximately expressed by a natural logarithmic function. During the neap tide, it takes 70, 60 and 40 days in the dry, normal and rainy seasons for water to travel from the mouth of the Nanliu River to the northeast of Lianzhou Bay, respectively, which is not beneficial to water exchange in the bay. Tides significantly influence the model results; it takes five less days for the tracer to be transported from the mouth of the Nanliu River to the north of Guantouling during the spring tide than during the neap tide.","2016-09","2021-10-08 06:36:25","2021-10-08 13:58:57","","1106-1113","","5","34","","","","","","","","","","","","","","WOS:000379737000023","","","","<p>应用水龄的概念，利用基于ECOMSED的模型计算连州湾淡水运移过程的时间尺度。 在本研究中，水龄被定义为自水块进入南流河以来经过的时间。 结果表明，指定位置的平均年龄与南流河径流具有良好的相关性，可以用自然对数函数近似表示。 小潮时，旱季、常季和雨季，水从南流河口流向连州湾东北部的时间分别为70天、60天和40天，不利于河内的水交换。 湾。 潮汐对模型结果有显着影响； 大潮时示踪剂从南流河口运至官头岭以北的时间比小潮时少5天。</p>","/Users/yulong/Zotero/storage/F5SBF3MQ/Yu Jing et al. - 2016 - Numerical study on the influences of Nanliu River .pdf","","ECOMSED; Lianzhou Bay; water age","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8J3KQIC","journalArticle","2021","Qin, Qubin; Shen, Jian","Applying transport rate for quantifying local transport conditions in estuarine and coastal systems","JOURNAL OF MARINE SYSTEMS","","0924-7963","10.1016/j.jmarsys.2021.103542","","Transport rate, as a scale complementary to commonly used transport timescales, is useful for quantifying local transport conditions in estuarine and coastal systems. A specific transport rate computed based on tracer release is highlighted for quantifying the local transport condition for long-standing autochthonous constituents originating from the system. The overall flushing capability of the constituents can be quantified by the material turnover time, an analog of turnover time, which can be conveniently computed using transport rate. The transport rate is computed in the James River, a tributary of Chesapeake Bay, U.S.A., which clearly describes the temporal and spatial variations of local transport conditions and provides an example to evaluate the contribution of physical transport to variations in phytoplankton biomass. The transport rate can also be used to diagnose the relative importance of physical transport against other environmental factors to the dynamics of reactive autochthonous constituents. Given the advantages, the transport rate provides an efficient tool for diagnosing local transport conditions modulating dynamics of autochthonous constituents in estuarine and coastal systems.","2021-06","2021-10-08 06:36:25","2021-10-08 13:12:31","","","","","218","","","","","","","","","","","","","","WOS:000640902100004","","","","<p>运输率作为常用运输时间尺度的补充尺度，可用于量化河口和沿海系统的当地运输条件。突出显示基于示踪剂释放计算的特定传输速率，用于量化源自系统的长期本地成分的本地传输条件。成分的整体冲洗能力可以通过材料周转时间来量化，周转时间的类似物可以使用传输速率方便地计算。运输率是在美国切萨皮克湾的支流詹姆斯河中计算的，它清楚地描述了当地运输条件的时空变化，并提供了一个例子来评估物理运输对浮游植物生物量变化的贡献。运输速率还可用于诊断物理运输相对于其他环境因素对反应性本土成分动态的相对重要性。鉴于这些优势，运输率提供了一种有效的工具，用于诊断调节河口和沿海系统中本地成分动态的当地运输条件。</p>","/Users/yulong/Zotero/storage/53JXWCTH/Qin and Shen - 2021 - Applying transport rate for quantifying local tran.pdf","","tracers; transport rate; turnover time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4F33UXCG","journalArticle","2007","Shen, Jian; Wang, Harry V.","Determining the age of water and long-term transport timescale of the Chesapeake Bay","ESTUARINE COASTAL AND SHELF SCIENCE","","0272-7714","10.1016/j.ecss.2007.05.017","","The concept of age of water (AW) is applied to the Chesapeake Bay to investigate the long-term transport properties for dissolved substances. A real-time calibrated hydrodynamic Chesapeake Bay model in 3 Dimensions (CH3D), employing a boundary-fitted curvilinear grid, is used for the study. The long-term transport properties, represented by AW, are investigated under the conditions of low river inflow of 1995 and high river inflow of 1996. as well as for constant mean inflows. The influences of freshwater, density-induced circulation, and wind-induced transport on age distribution have been investigated. Model results show that river inflows, wind stress, and density-induced circulation play important roles in controlling the long-term transport in the Bay. The model results shows that it requires 120-300 days for a marked change in the characteristics of the Pollutant Source discharged into the Bay from the Susquehanna River to affect significantly the conditions near the mouth under different hydrodynamic conditions. An increase of river discharge results in increases of downstream residual current and gravitational circulation. and thus reduces AW. The density-induced circulation contributes to the transport substantially. The dissolved substances discharged into the Bay are transported Out of the Bay more rapidly when the estuary becomes more stratified. Southeasterly and southwesterly winds have strong impacts on the transport compared to the northeasterly and northwesterly winds. The former increases lateral and vertical mixing significantly. Consequently. the gravitational circulation is reduced and the transport time is increased by 50%. The model results provide useful information for understanding the long-term transport processes in the Bay. (C) 2007 Elsevier Ltd. All rights reserved.","2007-09-15","2021-10-08 06:36:25","2021-10-08 13:15:42","","585-598","","4","74","","","","","","","","","","","","","","WOS:000249552700002","","","","<p>水龄 (AW) 的概念被应用于切萨皮克湾，以研究溶解物质的长期传输特性。该研究使用了实时校准的 3 维 (CH3D) 流体动力学切萨皮克湾模型，该模型采用了边界拟合曲线网格。以AW为代表的长期输运特性研究在1995年河流入流低和1996年河流入流高的条件下，以及恒定的平均入流条件下。已经研究了淡水、密度引起的环流和风引起的运输对年龄分布的影响。模型结果表明，河流流入、风应力和密度引起的环流在控制海湾的长期运输方面起着重要作用。模型结果表明，在不同水动力条件下，从萨斯奎哈纳河排入海湾的污染物源特征发生显着变化需要120-300天才能显着影响河口附近的条件。河流流量的增加导致下游剩余电流和重力环流的增加。从而减少AW。密度引起的环流对运输有很大贡献。当河口变得更加分层时，排放到海湾中的溶解物质会更快地运出海湾。与东北风和西北风相比，东南风和西南风对运输的影响更大。前者显着增加了横向和纵向混合。最后。重力环流减少，运输时间增加50%。模型结果为了解海湾的长期运输过程提供了有用的信息。 (C) 2007 Elsevier Ltd。保留所有权利。</p>","/Users/yulong/Zotero/storage/8Z537JMD/Shen and Wang - 2007 - Determining the age of water and long-term transpo.pdf","","CH3D; Chesapeake Bay; water age","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJ4Q4SXD","journalArticle","2005","Rueda, FJ; Cowen, EA","Residence time of a freshwater embayment connected to a large lake","LIMNOLOGY AND OCEANOGRAPHY","","0024-3590","10.4319/lo.2005.50.5.1638","","The average length of time water remains within the boundaries of an aquatic system is a key parameter controlling the system's biogeochemical behavior. This timescale, generally referred to as the hydraulic residence time, provides a first-order description of multiple and complex processes that drive transport. The procedures to estimate these transport timescales are reviewed and, through the analysis of numerical simulations, the links between residence timescales and the underlying hydrodynamic processes in a canonical freshwater embayment, Little Sodus Bay (LSB), are explored. LSB has negligible through-flow and is connected permanently to Lake Ontario (LO) through a narrow and shallow channel. Exchange in the channel is the result of a multiple balance where spatial thermal variations (baroclinic forcing), oscillations in water level (barotropic forcing), frictional mixing, wind, and the effects of unsteadiness are all important. The simulations indicate that baroclinic processes are the dominant exchange and mixing mechanisms in embayments like LSB. The largest density gradients across the channel are caused by episodic upwelling events in LO during the stratified season, when exchange rates increase by at least an order of magnitude. The mean residence timescales undergo dramatic variations in time and space and, in general, are comparable to the timescales of the systems' variability itself. The simulations reveal that temporal variations of mean residence timescales occur at interannual, seasonal, and down to synoptic timescales, and are closely related to the occurrence and frequency of upwelling events.","2005-09","2021-10-08 06:36:25","2021-10-08 14:48:07","","1638-1653","","5","50","","","","","","","","","","","","","","WOS:000231932800029","","","","<p>水在水生系统边界内停留的平均时间长度是控制系统生物地球化学行为的关键参数。这个时间尺度，通常被称为水力停留时间，提供了驱动运输的多个复杂过程的一阶描述。对估计这些运输时间尺度的程序进行了审查，并通过数值模拟分析，探讨了在典型淡水海湾小索德斯湾 (LSB) 中停留时间尺度与潜在水动力过程之间的联系。 LSB 的通流可以忽略不计，并通过一条狭窄而浅的通道与安大略湖 (LO) 永久相连。通道中的交换是多重平衡的结果，其中空间热变化（斜压强迫）、水位振荡（正压强迫）、摩擦混合、风和不稳定的影响都很重要。模拟表明斜压过程是像 LSB 这样的海湾中的主要交换和混合机制。横跨海峡的最大密度梯度是由分层季节期间 LO 的偶发上升流事件引起的，当时汇率至少增加了一个数量级。平均停留时间尺度在时间和空间上发生巨大变化，并且通常与系统可变性本身的时间尺度相当。模拟结果表明，平均停留时间尺度的时间变化发生在年际、季节和天气时间尺度上，并且与上升流事件的发生和频率密切相关。</p>","/Users/yulong/Zotero/storage/N6VAHPEJ/Rueda and Cowen - 2005 - Residence time of a freshwater embayment connected.pdf","","hydraulic residence time; Little Sodus Bay; residence timescales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
